,ID,checkpoints,started,time taken,grade,semester
0,14772,1,2021-02-05 08:49:00,13 mins 58 secs,1,Sp21 - 001
1,75683,1,2021-02-05 08:59:00,55 mins 3 secs,0,Sp21 - 001
2,16144,1,2021-02-05 14:14:00,38 mins 31 secs,0,Sp21 - 001
3,68658,1,2021-02-05 14:17:00,34 mins 5 secs,1,Sp21 - 001
4,17830,1,2021-02-05 17:06:00,15 mins 58 secs,0,Sp21 - 001
5,62252,1,2021-02-05 20:16:00,24 mins 4 secs,0,Sp21 - 001
6,32314,1,2021-02-06 10:09:00,25 mins 32 secs,0,Sp21 - 001
7,19343,1,2021-02-06 10:20:00,14 mins 51 secs,1,Sp21 - 001
8,57725,1,2021-02-06 15:42:00,24 mins 17 secs,0,Sp21 - 001
9,62783,1,2021-02-06 19:35:00,13 mins 24 secs,1,Sp21 - 001
10,36585,1,2021-02-07 09:16:00,15 mins 53 secs,0,Sp21 - 001
11,47088,1,2021-02-07 10:25:00,26 mins 41 secs,0,Sp21 - 001
12,97692,1,2021-02-07 10:42:00,13 mins 59 secs,1,Sp21 - 001
13,46516,1,2021-02-07 13:21:00,18 mins 44 secs,0,Sp21 - 001
14,44661,1,2021-02-07 14:43:00,36 mins 4 secs,1,Sp21 - 001
15,17830,1,2021-02-07 23:09:00,32 mins 33 secs,1,Sp21 - 001
16,96431,1,2021-02-08 09:42:00,29 mins 12 secs,0,Sp21 - 001
17,32314,1,2021-02-08 17:01:00,16 mins 58 secs,1,Sp21 - 001
18,26815,1,2021-02-08 18:33:00,34 mins 3 secs,0,Sp21 - 001
19,57725,1,2021-02-09 14:40:00,12 mins 4 secs,0,Sp21 - 001
20,88009,1,2021-02-09 19:52:00,22 mins 35 secs,1,Sp21 - 001
21,47088,1,2021-02-10 08:01:00,1 hour 1 min,1,Sp21 - 001
22,31085,1,2021-02-10 18:45:00,35 mins 55 secs,1,Sp21 - 001
23,57894,1,2021-02-10 19:00:00,22 mins 42 secs,1,Sp21 - 001
24,13358,1,2021-02-10 19:13:00,9 mins 5 secs,1,Sp21 - 001
25,38687,1,2021-02-10 19:51:00,37 mins 45 secs,0,Sp21 - 001
26,77508,1,2021-02-10 20:29:00,27 mins 44 secs,0,Sp21 - 001
27,58151,1,2021-02-10 20:52:00,14 mins 23 secs,1,Sp21 - 001
28,75683,1,2021-02-11 20:20:00,49 mins 5 secs,0,Sp21 - 001
29,46516,1,2021-02-11 21:02:00,7 mins 54 secs,1,Sp21 - 001
30,78555,1,2021-02-11 21:54:00,25 mins 22 secs,1,Sp21 - 001
31,38873,1,2021-02-11 22:10:00,38 mins 2 secs,0,Sp21 - 001
32,98539,1,2021-02-12 15:51:00,18 mins 59 secs,1,Sp21 - 001
33,18832,1,2021-02-12 18:38:00,28 mins 22 secs,0,Sp21 - 001
34,29436,1,2021-02-12 19:16:00,14 mins 42 secs,1,Sp21 - 001
35,83943,1,2021-02-12 21:22:00,25 mins 42 secs,0,Sp21 - 001
36,36585,1,2021-02-14 11:14:00,19 mins 58 secs,1,Sp21 - 001
37,26815,1,2021-02-15 16:29:00,21 mins 26 secs,1,Sp21 - 001
38,16144,1,2021-02-16 15:27:00,17 mins 40 secs,1,Sp21 - 001
39,75683,1,2021-02-17 10:53:00,40 mins 27 secs,1,Sp21 - 001
40,57725,1,2021-02-17 11:40:00,27 mins 32 secs,0,Sp21 - 001
41,38687,1,2021-02-18 20:00:00,31 mins 5 secs,1,Sp21 - 001
42,18832,1,2021-02-22 21:35:00,9 mins 13 secs,1,Sp21 - 001
43,57725,1,2021-03-11 17:03:00,35 mins 27 secs,1,Sp21 - 001
44,83943,1,2021-03-11 18:13:00,15 mins 1 sec,0,Sp21 - 001
45,83943,1,2021-03-27 18:14:00,45 mins 21 secs,1,Sp21 - 001
46,62252,1,2021-04-23 09:10:00,18 mins 36 secs,1,Sp21 - 001
47,96431,1,2021-05-04 20:15:00,23 mins 52 secs,1,Sp21 - 001
48,14772,2,2021-02-11 10:36:00,15 mins 22 secs,1,Sp21 - 001
49,68658,2,2021-02-11 12:41:00,16 mins 22 secs,0,Sp21 - 001
50,36585,2,2021-02-12 18:54:00,7 mins 31 secs,1,Sp21 - 001
51,62783,2,2021-02-12 20:22:00,11 mins 48 secs,1,Sp21 - 001
52,32314,2,2021-02-14 11:15:00,17 mins,1,Sp21 - 001
53,19343,2,2021-02-14 11:16:00,11 mins 33 secs,1,Sp21 - 001
54,97692,2,2021-02-14 12:24:00,6 mins 25 secs,1,Sp21 - 001
55,47088,2,2021-02-15 09:19:00,11 mins 49 secs,1,Sp21 - 001
56,17830,2,2021-02-15 15:01:00,12 mins 28 secs,1,Sp21 - 001
57,16144,2,2021-02-15 15:51:00,39 mins 30 secs,1,Sp21 - 001
58,75683,2,2021-02-16 14:06:00,1 hour 1 min,0,Sp21 - 001
59,29436,2,2021-02-16 20:43:00,26 mins 48 secs,1,Sp21 - 001
60,88009,2,2021-02-16 21:18:00,13 mins 46 secs,1,Sp21 - 001
61,38687,2,2021-02-17 12:34:00,59 mins 24 secs,1,Sp21 - 001
62,13358,2,2021-02-17 15:10:00,9 mins 33 secs,1,Sp21 - 001
63,57894,2,2021-02-17 16:10:00,17 mins 41 secs,0,Sp21 - 001
64,57725,2,2021-02-17 17:06:00,24 mins 17 secs,1,Sp21 - 001
65,44661,2,2021-02-17 20:38:00,20 mins 24 secs,1,Sp21 - 001
66,96431,2,2021-02-17 22:34:00,11 mins 40 secs,1,Sp21 - 001
67,58151,2,2021-02-17 22:40:00,9 mins 19 secs,1,Sp21 - 001
68,31085,2,2021-02-18 15:00:00,17 mins 10 secs,1,Sp21 - 001
69,46516,2,2021-02-18 15:48:00,7 mins 32 secs,0,Sp21 - 001
70,62252,2,2021-02-18 16:44:00,29 mins 37 secs,0,Sp21 - 001
71,78555,2,2021-02-18 17:42:00,26 mins 54 secs,1,Sp21 - 001
72,26815,2,2021-02-18 18:06:00,21 mins 26 secs,1,Sp21 - 001
73,77508,2,2021-02-18 20:47:00,13 mins 34 secs,1,Sp21 - 001
74,38873,2,2021-02-18 20:52:00,16 mins 10 secs,0,Sp21 - 001
75,83943,2,2021-02-18 21:46:00,9 mins 49 secs,1,Sp21 - 001
76,98539,2,2021-02-18 23:29:00,10 mins 39 secs,1,Sp21 - 001
77,68658,2,2021-02-21 20:21:00,10 mins 25 secs,1,Sp21 - 001
78,75683,2,2021-02-22 12:52:00,25 mins 20 secs,1,Sp21 - 001
79,18832,2,2021-02-22 21:14:00,18 mins 55 secs,1,Sp21 - 001
80,57894,2,2021-02-26 21:40:00,12 mins 41 secs,1,Sp21 - 001
