,ID,timestamp,checkpoint,mistakes,preparation,office_hours,semester
0,65004,2021-02-07 23:15:00,1,I don't understand how to interpret numbers when it gives me a slope and coordinates.,My plan is to go to office hours and try to understand what I did wrong and how I can fix the problem. I think I don't know how to do it at all so a refresher might be needed.,Yes,Sp21 - 001
1,75683,2021-02-08 11:45:00,1,In the first question I accidentally did an exponent of 2 instead of 3 and for the 3rd question I had -2/3 instead of just having -2,I will make sure I have the problem right and then I will go to office hour to get a better understanding of graphing,Yes,Sp21 - 001
2,57725,2021-02-08 21:03:00,1,"I didn't apply the order of operations correctly on question 1 with the powers and on question 3 I didn't know it because I hadn""t got to chapter 2 but i made a mistake with the denominator",I will redo my order of operations and I have reviewed chapter 2 since then since i didn't read it previously,No,Sp21 - 001
3,46516,2021-02-10 16:21:00,1,"I thought the question said we could either explain whether the average velocity was two, or make any function for the formula where the average velocity from [-1,1] was not 2. I wasn't aware that we had to prove it was right. So instead of proving it right, I made up a random function where the average velocity from [-1,1] did not equal 2.","I understand how to do the material, I think that I just had a misunderstanding with the question.",No,Sp21 - 001
4,36585,2021-02-12 17:29:00,1,I misunderstood the last question of the check point and forgot that the slope of the line is equal to the average velocity between the interval. My slope was wrong.,"I will look over the sections in the book that explain graphing average velocity. Before, I did not study specifically what to graph, I only really studied how to find an answer from the graph. I need to be able to do both.",No,Sp21 - 001
5,75683,2021-02-16 14:04:00,1,For the second problem I didn't show in an example how it would work or not work,practice making line segment examples,No,Sp21 - 001
6,50542,2021-02-22 14:41:00,1,My graph of the function needs to be explained through my work to better estimate what it should look like.,Visit Dr. Ford in office hours to work through what I am confused about. Re read chapter 1.2 and 1.1 to better understand the topic,No,Sp21 - 001
7,62252,2021-04-22 19:50:00,1,"Instead of having the average rate of change be -2 over the interval, I wrote the average rate of change as +2.",I will make sure to double check the question so I will not make any mistakes similar to what I had made with the first attempt.,No,Sp21 - 001
8,96431,2021-04-26 11:12:00,1,I did not understand how to find the average rate of change at the time.,I will review the section and properly do the correct average rate of change.,No,Sp21 - 001
9,83943,2021-03-18 08:51:00,1,"1) Simple mistake with the second part of the problem about the average rate of change of a function over a zero over the interval.
 3) Simple mistake when expanding the numerator. Also need to write out the limit at each step.
 4) Using the limit definition for the second part of the problem.",1) I will just review the section in the book to make sure I understand what I am doing.,No,Sp21 - 001
10,17830,2021-02-07 16:21:00,1,"I misunderstood the second question when it said ""explain"" in previous math classes an explanation was simply just showing your work through the equation. For the third question I simply didn't look the incorrect problem long enough to decipher the correct error.",I will explain myself in the second question and for the third question I will actually work through the equation myself and compare it to the incorrect answer to find the flaw.,No,Sp21 - 001
11,67424,2021-02-07 19:05:00,1,I misunderstood how to do the third problem in which I had to sketch a graph of a function between intervals 0 and 3 with an average rate of change equaling -2.,I asked a friend for help and she walked me through it. I re worked the problem I misunderstood and now know how to complete similar problems for the future.,No,Sp21 - 001
12,16144,2021-02-09 10:55:00,1,"When I answered the questions, I didn't fully understand what it meant when the average rate of change was 0, but now I know that it means that between two points, if a line was drawn, there would be no change.",I'm re-reading section 1 because I didn't do that last time.,No,Sp21 - 001
13,50867,2021-02-09 11:28:00,1,I didn't understand the 2nd question and what it was asking and I think I used the incorrect formula,I am open to going to Dr. Ford's office hours and reevaluating the 2nd question with him.,Yes,Sp21 - 001
14,26815,2021-02-10 12:16:00,1,I accidentally made the slope incorrectly from an interval on a graph.,I will redo the problem I got wrong with the correct slopes and compute the average velocity to see if it matches the correct rate of change given.,Yes,Sp21 - 001
15,34064,2021-02-11 07:42:00,1,"I cannot fully grasp the second part of the checkpoint. I am not yet able to describe whether or not the average rate of change of a function over [-1,1] will be 2.",I will request an office hour with Dr. Ford. This will be different because I will be able to seek help for this specific portion of the checkpoint.,Yes,Sp21 - 001
16,57725,2021-02-15 08:53:00,1,I think I am computing my numbers and algebra wrong in the equation number problems,I am going to book office hours with Dr. Ford so i can ensure my understanding vs watching the videos,Yes,Sp21 - 001
17,69434,2021-02-15 12:30:00,1,I missed the second question. I forgot to think about the fact that there could be jumps in the lines and that is what ultimately made me miss the question.,I will rewatch the videos and take notes on them. In the past I didn't take notes on the videos.,No,Sp21 - 001
18,65544,2021-02-16 20:50:00,1,"Question 1: I should have used more parentheses, and then I would have have gotten the right answer which is positive but I had it as negative.
 Question 2:I accidentally mistakes 2pie for pie/2
 Question 3:I got correct","I will do some more practice problems and make sure I work on using more parentheses and reading the whole question to make sure I have everything labeled correctly. Before I did the checkpoint originally I did some practice problems and looked over notes, but will look through some examples in the book as well before I do the revised attempt.",No,Sp21 - 001
